CRUD_privileges,data_group,description,end_timestamp,location,metric,print_str,short_hand,site,start_timestamp,statistic,unit_str
,scada,,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,std,°
,scada,,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,min,
,scada,,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,max,°
,scada,,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,max,m/s
,scada,,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,std,m/s
,scada,,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,mean,°
,acceleration,std of accelerations measured at NRT_A02_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,std,g
,scada,,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,mean,m/s
,scada,,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,max,°
,acceleration,min of accelerations measured at NRT_A02_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,min,g
,acceleration,max of accelerations measured at NRT_A03_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA03,max_NRT_A03_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,max,g
,scada,,3000-01-01T00:00:00Z,NRTA03,std_NRT_A03_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,std,°
,acceleration,mean of accelerations measured at _NRT_A03_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA03,mean_NRT_A03_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,mean,g
,acceleration,rms of accelerations measured at NRT_A03_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA03,rms_NRT_A03_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,rms,g
,acceleration,min of accelerations measured at NRT_A03_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA03,min_NRT_A03_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,min,g
,scada,,3000-01-01T00:00:00Z,NRTA03,std_NRT_A03_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,std,
,mpe,Modal parameter results for NRT_A03_SS1,3000-01-01T00:00:00Z,NRTA03,mpe_NRT_A03_SS1,SS1,SS1,Norther,2000-01-01T00:00:00Z,mpe,
,scada,,3000-01-01T00:00:00Z,NRTA03,max_NRT_A03_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,max,
,scada,,3000-01-01T00:00:00Z,NRTA03,std_NRT_A03_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,std,°
,scada,,3000-01-01T00:00:00Z,NRTA03,std_NRT_A03_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,std,m/s
,acceleration,rms1p of accelerations measured at p_NRT_A03_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA03,rms1p_NRT_A03_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,rms1p,g
,acceleration,mean of accelerations measured at _NRT_A03_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA03,mean_NRT_A03_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,mean,g
,acceleration,std of accelerations measured at NRT_A03_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA03,std_NRT_A03_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,std,g
,mpe,Modal parameter results for NRT_A03_SS,3000-01-01T00:00:00Z,NRTA03,mpe_NRT_A03_SS,SS,SS,Norther,2000-01-01T00:00:00Z,mpe,
,scada,,3000-01-01T00:00:00Z,NRTA03,max_NRT_A03_power,Power,power,Norther,2000-01-01T00:00:00Z,max,kW
,scada,,3000-01-01T00:00:00Z,NRTA03,max_NRT_A03_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,max,°
